time	V(vcc)	V(vin)
4.645941121309091e-003	9.000000e+000	9.894929e-003
4.649020595617392e-003	9.000000e+000	9.967831e-003
4.652635876445706e-003	9.000000e+000	9.924456e-003
4.657290154315389e-003	9.000000e+000	9.655436e-003
4.664830754155714e-003	9.000000e+000	8.741272e-003
4.676815686349914e-003	9.000000e+000	6.432195e-003
4.688265949774819e-003	9.000000e+000	3.503245e-003
4.697679446298305e-003	9.000000e+000	7.122802e-004
4.706435953891545e-003	9.000000e+000	-1.970363e-003
4.715200492665595e-003	9.000000e+000	-4.507322e-003
4.724142044058864e-003	9.000000e+000	-6.747496e-003
4.732818400350664e-003	9.000000e+000	-8.467187e-003
4.738992276491830e-003	9.000000e+000	-9.354550e-003
4.742763911017633e-003	9.000000e+000	-9.714045e-003
4.745934447865746e-003	9.000000e+000	-9.894632e-003
4.749019106783362e-003	9.000000e+000	-9.967763e-003
4.752635322630236e-003	9.000000e+000	-9.924462e-003
4.757289253719530e-003	9.000000e+000	-9.655511e-003
4.764829302472866e-003	9.000000e+000	-8.741499e-003
4.776813419763292e-003	9.000000e+000	-6.432706e-003
4.788264818099908e-003	9.000000e+000	-3.503774e-003
4.797651015016091e-003	9.000000e+000	-7.211055e-004
4.806381152839842e-003	9.000000e+000	1.954034e-003
4.815119548800290e-003	9.000000e+000	4.485348e-003
4.824063084712950e-003	9.000000e+000	6.730204e-003
4.832713864818499e-003	9.000000e+000	8.448743e-003
4.838998400564080e-003	9.000000e+000	9.354291e-003
4.842768463025844e-003	9.000000e+000	9.714368e-003
4.845940109089539e-003	9.000000e+000	9.894884e-003
4.849020369790185e-003	9.000000e+000	9.967821e-003
4.852635792442742e-003	9.000000e+000	9.924457e-003
4.857290017712661e-003	9.000000e+000	9.655447e-003
4.864830533964131e-003	9.000000e+000	8.741306e-003
4.876815342554746e-003	9.000000e+000	6.432272e-003
4.888265778113817e-003	9.000000e+000	3.503283e-003
4.897680323501717e-003	9.000000e+000	7.120071e-004
4.906437824675603e-003	9.000000e+000	-1.970919e-003
4.915203349447639e-003	9.000000e+000	-4.508096e-003
4.924144839877525e-003	9.000000e+000	-6.748117e-003
4.932821521099209e-003	9.000000e+000	-8.467714e-003
4.938993567471682e-003	9.000000e+000	-9.354707e-003
4.942764870587153e-003	9.000000e+000	-9.714113e-003
4.945935641264278e-003	9.000000e+000	-9.894686e-003
4.949019373025475e-003	9.000000e+000	-9.967775e-003
4.952635421666895e-003	9.000000e+000	-9.924461e-003
4.957289414769609e-003	9.000000e+000	-9.655498e-003
4.964829562071971e-003	9.000000e+000	-8.741458e-003
4.976813825090014e-003	9.000000e+000	-6.432615e-003
4.988265020463713e-003	9.000000e+000	-3.503727e-003
4.997650143351864e-003	9.000000e+000	-7.213770e-004
5.006379265800318e-003	9.000000e+000	1.953472e-003
5.015116654028508e-003	9.000000e+000	4.484562e-003
5.024060250255259e-003	9.000000e+000	6.729569e-003
